Species,County,locality,Lat,Long,Source,Comments
Zeugodacus diaphorus,,Taipei city,25.0911,121.5598,Tseng et al. 1992,Type locality of synonymous Dacus lunulatus
Zeugodacus diaphorus,,Tappan,23.4564,120.7480,Tseng et al. 1992,
Zeugodacus diaphorus,Nantou,"Tongpu, Nantou Hsien",23.5632,120.9256,Tseng et al. 1992,
Zeugodacus diaphorus,,Tapani and Suisharyo,,,Type locality,Tapani and Suisharyo are two different localities
Zeugodacus diaphorus,?,"Formosa Sauter, Tapani",,,Type locality as of Drew & Romig 2013,
Zeugodacus lipsanus,?,"Formosa Sauter, Suisharyo",23.5044,120.6596,Drew & Romig 2013,
Zeugodacus lipsanus,?,"Formosa Sauter, Tainan",,,Drew & Romig 2013,
Zeugodacus lipsanus,,"Tainan, Taiwan",,,Type locality,
Zeugodacus lipsanus,Pingtung,Koshun (ancient name for Hengchun),22.0424,120.7377,Type locality as of Drew & Romig 2013,
Zeugodacus mundus,,Locality not specified,23.6978,120.9605,Drew & Romig 2013,
Zeugodacus mundus,,"Lanyu Island and Taitung, Taiwan",22.0245,121.5560,Tseng et al. 1992,Type locality of the synonymous Zeugodacus tibialis
Zeugodacus mundus,,Taitung,,,Tseng et al. 1992,
Zeugodacus nigrifacies,,"Tamaru (Rota), TAIHOKU",,,Drew & Romig 2013,
Zeugodacus nigrifacies,,"Pashenshan (600m), Taichung Hsien",24.1922,121.0146,Tseng et al. 1992,
Zeugodacus nigrifacies,Nantou,"Sanlinchi (1200m), Nantou Hsien",23.6395,120.7922,Tseng et al. 1992,
Zeugodacus nigrifacies,Chiayi,Arisan (2300 m),23.5753,120.8244,Type locality; Tseng et al. 1992,
Zeugodacus scutellatus,?,Formosa Sauter. Suisharyo,23.5044,120.6596,Drew & Romig 2013,
Zeugodacus scutellatus,,Fushan,24.7614,121.5550,Drew & Romig 2013,
Zeugodacus scutellatus,,"Ilan Hsien, Fu-Shan LTER site",24.7565,121.5946,Drew & Romig 2013,
