Species,Code,Lure,Country,Site,Lat,Long,Elevation (m) (google earth),Trapping dates,Habitat,Collectors,#
Zeugodacus synnephys,FF314,CL,Taiwan,Taitung Co. Lanyu Island,22.0351,121.5611,219,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,2
Zeugodacus synnephys,FF335,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4452,120.6675,1116,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,2
Zeugodacus synnephys,FF341,CL,Taiwan,Chaiyi Co. Alishan mountain,23.5055,120.6940,1412,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,2
Zeugodacus synnephys,FF341,hand-coll.,Taiwan,Chaiyi Co. Alishan mountain,23.5055,120.6940,1412,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,2
Zeugodacus tau,FF256 (Tw),CL,Taiwan,Nantou Co. Lugu Township Bird Park,23.7257,120.7935,826,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,2
Zeugodacus tau,FF350,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4744,120.6440,552,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,2
Zeugodacus tau,FF351,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4759,120.6426,568,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,2
Zeugodacus tau,FF362,CL,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4602,120.5529,237,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,2
Bactrocera dorsalis,FF255 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7279,120.7933,824,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,3
Bactrocera dorsalis,,ME,Taiwan,"Fushan: Ilan County: Jiao Si, Wufengchi",24.8342,121.7470,192,13-ix-2015,,,3
Bactrocera occipitalis,FF306,ME,Taiwan,Taitung Co. Lanyu Island,22.0093,121.5720,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,3
Zeugodacus cucurbitae,FF281,CL,Taiwan,Nantou Co. Jiji Township,23.8251,120.7669,246,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,3
Zeugodacus cucurbitae,FF362,CL,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4602,120.5529,237,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,3
Zeugodacus synnephys,FF299,CL,Taiwan,Pingtung Co. Kenting National Park,22.0254,120.8011,129,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,3
Zeugodacus synnephys,FF301,CL,Taiwan,Taitung Co. Lanyu Island,22.0281,121.5784,40,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,3
Zeugodacus synnephys,FF334,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4418,120.6590,955,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,3
Zeugodacus synnephys,FF361,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4715,120.6925,1146,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,3
Bactrocera dorsalis,FF260 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7287,120.7943,788,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,4
Bactrocera dorsalis,FF276,ZN,Taiwan,Nantou Co. Jiji Township,23.8276,120.8021,326,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,4
Bactrocera dorsalis,FF292,ME,Taiwan,Pingtung Co. Kenting National Park,21.9152,120.8451,16,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,4
Zeugodacus cucurbitae,FF280,CL,Taiwan,Nantou Co. Jiji Township,23.8278,120.7747,230,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,4
Zeugodacus cucurbitae,FF283,CL,Taiwan,Nantou Co. Jiji Township,23.8357,120.7478,225,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,4
Zeugodacus cucurbitae,FF303,CL,Taiwan,Taitung Co. Lanyu Island,22.0238,121.5949,28,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,4
Zeugodacus synnephys,FF333,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4416,120.6487,880,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,4
Zeugodacus synnephys,Extra,hand-coll.,Taiwan,Chaiyi Co. Alishan mountain,,,,6-8-viii-2014,,Daniel Rubinoff & Michael San Jose,4
Zeugodacus tau,FF338,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4665,120.6916,1284,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,4
Bactrocera dorsalis,FF347,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4781,120.6219,739,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,5
Bactrocera dorsalis,FF351,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4759,120.6426,568,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,5
Bactrocera dorsalis,FF360,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4727,120.6924,1144,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,5
Bactrocera rubigina,FF307,CL,Taiwan,Taitung Co. Lanyu Island,22.0100,121.5762,77,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,5
Zeugodacus cilifer,FF289,CL,Taiwan,Pingtung Co. Kenting National Park,21.9651,120.7192,128,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,5
Zeugodacus cucurbitae,FF276,CL,Taiwan,Nantou Co. Jiji Township,23.8276,120.8021,326,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,5
Zeugodacus cucurbitae,FF289,CL,Taiwan,Pingtung Co. Kenting National Park,21.9651,120.7192,128,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,5
Zeugodacus cucurbitae,FF297,CL,Taiwan,Pingtung Co. Kenting National Park,21.9900,120.8488,30,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,5
Zeugodacus synnephys,FF309,CL,Taiwan,Taitung Co. Lanyu Island,22.0270,121.5537,64,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,5
Zeugodacus tau,FF280,CL,Taiwan,Nantou Co. Jiji Township,23.8278,120.7747,230,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,5
Zeugodacus tau,FF353,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4804,120.6522,618,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,5
Zeugodacus tau,FF354,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4704,120.6508,685,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,5
Bactrocera dorsalis,FF263 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7299,120.7871,854,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,6
Bactrocera dorsalis,FF278,ME,Taiwan,Nantou Co. Jiji Township,23.8251,120.8224,373,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,6
Bactrocera rubigina,FF306,CL,Taiwan,Taitung Co. Lanyu Island,22.0093,121.5720,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,6
Zeugodacus cucurbitae,FF316,CL,Taiwan,Taitung Co. Lanyu Island,22.0543,121.5621,32,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,6
Zeugodacus cucurbitae,FF363,CL,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4594,120.5352,188,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,6
Zeugodacus synnephys,FF342,CL,Taiwan,Chaiyi Co. Alishan mountain,23.5005,120.7120,1607,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,6
Zeugodacus synnephys,FF360,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4727,120.6924,1144,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,6
Bactrocera dorsalis,FF267 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9271,120.8873,740,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF269,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9282,120.8916,772,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF296,ME,Taiwan,Pingtung Co. Kenting National Park,21.9593,120.8397,25,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF334,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4418,120.6590,955,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF355,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4671,120.6591,704,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF357,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4822,120.6768,914,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,7
